#chrom,start,end,region,0X,1X,10X,30X,100X,500X,1000X,5000X,10000X,mixture,batch,1X_ratio,10X_ratio,30X_ratio,100X_ratio,500X_ratio,1000X_ratio,5000X_ratio,10000X_ratio
MN908947.3,1,29903,whole genome,29902,28479,27339,26720,24759,18809,15069,4360,536,0adgio1o2o3o4o5,illumina_ss: nwrb,0.9524112099525115,0.914286669787974,0.893585713330212,0.8280048157313892,0.6290214701357769,0.5039462243328205,0.14580964483981004,0.01792522239315096
MN908947.3,1,29903,whole genome,29902,28427,27605,27163,24203,18527,15552,3658,397,0adgio1,illumina_ss: nwrb,0.9506721958397432,0.9231823958263661,0.908400775867835,0.8094107417564043,0.6195906628319175,0.5200989900341114,0.12233295431743696,0.013276703899404722
MN908947.3,1,29903,whole genome,29902,27545,26044,24720,21525,16226,12122,1076,0,o2o3o4o5,illumina_ss: nwrb,0.9211758410808641,0.8709785298642231,0.826700555146813,0.7198515149488328,0.5426392883419169,0.40539094374958196,0.03598421510266872,0.0
MN908947.3,1,29903,whole genome,29902,28456,28140,27150,25862,20219,17083,4529,810,0agio1o2,illumina_ss: nwrb,0.9516420306334025,0.9410741756404254,0.9079660223396429,0.8648919804695339,0.6761755066550732,0.5712995786235034,0.15146144070630727,0.027088489064276636
MN908947.3,1,29903,whole genome,29902,28470,27571,26317,24597,19466,15847,3491,409,0o5o3o4,illumina_ss: nwrb,0.9521102267406862,0.9220453481372484,0.8801083539562571,0.8225871179185339,0.6509932445990235,0.5299645508661628,0.11674804360912314,0.013678014848505117
MN908947.3,1,29903,whole genome,29902,28429,28394,27973,26752,23339,19961,6883,1029,adgio1o2o3,illumina_ss: nwrb,0.9507390809979266,0.9495685907297171,0.9354892649321116,0.8946558758611464,0.7805163534211759,0.6675473212494147,0.230185271888168,0.03441241388535884
MN908947.3,1,29903,whole genome,29902,28846,28547,28546,28291,25944,24163,11649,2808,agio3o4o5,illumina_ss: nwrb,0.9646846364791652,0.9546853053307471,0.9546518627516554,0.946124005083272,0.8676342719550532,0.8080730385927363,0.38957260383920805,0.09390676208949233
MN908947.3,1,29903,whole genome,29902,28287,27700,27421,27108,25507,23090,10075,2080,o1o2o3o4o5,illumina_ss: nwrb,0.9459902347669052,0.9263594408400776,0.9170289612734934,0.9065614340177914,0.8530198648919805,0.7721891512273427,0.336933984348873,0.06956056451073507
MN908947.3,1,29903,whole genome,29902,28185,27859,27199,26218,22562,20115,8251,2604,0,illumina_ss: nwrb,0.9425790916995519,0.9316768109156578,0.9096047087151361,0.8767975386261788,0.7545314694669253,0.6726974784295365,0.275934720085613,0.08708447595478563
MN908947.3,1,29903,whole genome,29902,27677,26918,26004,24005,18741,15991,2990,420,o1o2,illumina_ss: nwrb,0.9255902615209685,0.9002073439903685,0.8696408267005551,0.8027891110962477,0.6267473747575413,0.5347802822553676,0.09999331148418165,0.014045883218513812
MN908947.3,1,29903,whole genome,29902,27009,25498,23797,21772,16441,12618,2806,268,o3,illumina_ss: nwrb,0.9032506186877132,0.8527188816801552,0.7958330546451743,0.7281118319844826,0.5498294428466324,0.42197846297906494,0.09383987693130895,0.00896261119657548
MN908947.3,1,29903,whole genome,29902,27638,26766,26593,25776,23124,21069,9856,1394,o5,illumina_ss: nwrb,0.9242860009363922,0.8951240719684302,0.8893385057855662,0.8620159186676476,0.7733261989164605,0.7046016988830178,0.32961005952779077,0.04661895525382918
MN908947.3,1,29903,whole genome,29902,27253,26188,25416,22541,17428,13245,2232,92,o4,illumina_ss: nwrb,0.9114106079860879,0.8757942612534279,0.8499765901946358,0.7538291753059996,0.5828372684101398,0.4429469600695606,0.0746438365326734,0.0030767172764363587
MN908947.3,1,29903,whole genome,29902,28422,27779,27779,27485,25275,23400,4039,373,0-2,illumina_ss: nwrb,0.9505049829442846,0.9290014045883218,0.9290014045883218,0.9191692863353622,0.8452611865427062,0.7825563507457696,0.13507457695137448,0.012474082001203934
MN908947.3,1,29903,whole genome,29902,27649,27641,27298,25703,21972,18643,4751,632,a,illumina_ss: nwrb,0.9246538693064009,0.9243863286736673,0.9129155240452144,0.8595746103939536,0.7348003478028226,0.6234700020065548,0.15888569326466456,0.021135709985954116
MN908947.3,1,29903,whole genome,29902,27417,26826,25326,23010,18632,15358,4321,734,g,illumina_ss: nwrb,0.9168951909571266,0.8971306267139322,0.8469667580763829,0.7695137449000067,0.6231021336365461,0.5136111296903217,0.14450538425523377,0.02454685305330747
MN908947.3,1,29903,whole genome,29902,19754,16464,15932,14954,12358,10868,4906,2004,i,illumina_ss: nwrb,0.660624707377433,0.5505986221657414,0.5328071700889573,0.5001003277372751,0.41328339241522305,0.36345394956859073,0.164069293023878,0.0670189284997659
MN908947.3,1,29903,whole genome,29902,27338,26097,24685,21763,15688,10988,1409,26,d,illumina_ss: nwrb,0.9142532272088824,0.8727509865560832,0.8255300648786035,0.7278108487726573,0.5246471807905826,0.3674670590595947,0.047120593940204666,0.0008695070563841884
MN908947.3,1,29903,whole genome,29902,27673,25778,23500,19642,11123,5701,0,0,0-3,illumina_ss: nwrb,0.9254564912046017,0.862082803825831,0.7859006086549395,0.6568791385191626,0.3719818072369741,0.19065614340177914,0.0,0.0
MN908947.3,1,29903,whole genome,29902,27728,27140,27062,26159,23985,21690,10245,1851,o3-2,illumina_ss: nwrb,0.9272958330546451,0.9076315965487258,0.9050230753795733,0.8748244264597685,0.8021202595144138,0.7253695404989633,0.3426192227944619,0.06190221389873587
MN908947.3,1,29903,whole genome,29902,26528,24544,24294,22058,17014,14580,4436,1176,o5-2,illumina_ss: nwrb,0.8871647381446057,0.8208146612266738,0.8124540164537489,0.7376764096047087,0.5689920406661761,0.48759280315697945,0.1483512808507792,0.03932847301183867
MN908947.3,1,29903,whole genome,29902,25746,23879,22475,19637,13109,9170,515,0,o5-3,illumina_ss: nwrb,0.8610126412948966,0.7985753461306936,0.7516219650859475,0.6567119256237041,0.4383987693130894,0.3066684502708849,0.01722292823222527,0.0
MN908947.3,1,29903,whole genome,29902,27778,26853,26549,25687,23725,21493,10870,2131,o4-2,illumina_ss: nwrb,0.9289679620092302,0.8980335763494081,0.8878670323055314,0.8590395291284864,0.7934251889505719,0.7187813524178984,0.36352083472677416,0.07126613604441175
MN908947.3,1,29903,whole genome,29902,28434,27563,27194,26195,23024,20205,2527,219,o4-3,illumina_ss: nwrb,0.9509062938933851,0.9217778075045148,0.9094374958196776,0.8760283593070698,0.7699819410072904,0.6757073105477894,0.08450939736472476,0.007323924821082202
MN908947.3,1,29903,whole genome,29902,26912,26178,25563,24522,19386,16706,5207,699,o2-2,illumina_ss: nwrb,0.9000066885158183,0.8754598354625108,0.8548926493211156,0.8200789244866564,0.6483178382716875,0.5586917263059327,0.17413550933047955,0.023376362785097988
MN908947.3,1,29903,whole genome,29902,28011,27619,26679,24882,22937,20961,11846,4272,o2o3o4o5-2,illumina_ss: nwrb,0.9367600829375962,0.92365059193365,0.8922145675874523,0.8321182529596682,0.7670724366263126,0.7009899003411143,0.39616079192027287,0.1428666978797405
MN908947.3,1,29903,whole genome,29902,27335,27158,26265,24830,19585,17444,5875,1125,o2o3o4o5-3,illumina_ss: nwrb,0.9141528994716073,0.9082335629723765,0.8783693398434888,0.8303792388468999,0.6549729115109357,0.583372349675607,0.19647515216373487,0.037622901478161996
MN908947.3,1,29903,whole genome,29902,28447,27917,26845,25097,19785,17476,4783,930,0adgio1-2,illumina_ss: nwrb,0.9513410474215771,0.9336164805029764,0.8977660357166745,0.8393084074643836,0.6616614273292757,0.5844425122065414,0.15995585579559896,0.031101598555280583
MN908947.3,1,29903,whole genome,29902,29287,28775,28770,28548,26798,24690,12561,3194,0aio1o2o3o4o5,illumina_ss: nwrb,0.9794328138586048,0.9623102133636546,0.9621430004681961,0.9547187479098388,0.8961942344993646,0.825697277774062,0.4200722359708381,0.10681559761888837
MN908947.3,1,29903,whole genome,29902,26887,25682,23840,20703,13795,9892,2340,423,0-4,illumina_ss: nwrb,0.8991706240385259,0.8588723162330278,0.7972710855461174,0.6923617149354558,0.4613403785699953,0.33081399237509196,0.07825563507457695,0.014146210955788911
MN908947.3,1,29903,whole genome,29902,27649,27649,27544,26922,24312,21874,9121,1729,a-2,illumina_ss: nwrb,0.9246538693064009,0.9246538693064009,0.9211423985017725,0.9003411143067354,0.8130559828773996,0.7315229750518359,0.3050297638953916,0.05782221924954852
MN908947.3,1,29903,whole genome,29902,21169,19071,17441,15207,10633,6953,851,39,g-2,illumina_ss: nwrb,0.7079459567921879,0.6377834258578021,0.5832720219383318,0.508561300247475,0.35559494348204135,0.232526252424587,0.028459634807036317,0.0013042605845762826
MN908947.3,1,29903,whole genome,29902,27969,27519,26565,23912,17940,14543,4132,971,i-2,illumina_ss: nwrb,0.9353554946157447,0.9203063340244799,0.8884021135709986,0.7996789512407196,0.59995986890509,0.4863554277305866,0.13818473680690255,0.032472744298040264
MN908947.3,1,29903,whole genome,29902,27803,27475,27349,26360,24493,22340,11392,2954,d-2,illumina_ss: nwrb,0.9298040264865226,0.9188348605444452,0.914621095578891,0.8815463848572002,0.8191090896929971,0.747107216908568,0.3809778610126413,0.09878937863688048
MN908947.3,1,29903,whole genome,29902,25513,24423,22720,19120,13729,9820,1269,124,o1-2,illumina_ss: nwrb,0.8532205203665306,0.8167681091565782,0.7598153969634138,0.6394221122332955,0.45913316834994317,0.3284061266804896,0.04243863286736673,0.004146879807370744
MN908947.3,1,29903,whole genome,29902,26895,26368,25867,24793,21636,19115,9148,2701,o2-3,illumina_ss: nwrb,0.8994381646712595,0.8818139254899338,0.8650591933649923,0.829141863420507,0.7235636412280115,0.639254899337837,0.3059327135308675,0.09032840612668049
MN908947.3,1,29903,whole genome,29902,27934,26346,24819,24358,21057,18687,8751,2374,o3-4,illumina_ss: nwrb,0.9341850043475353,0.8810781887499164,0.8300113704768912,0.8145943415156177,0.7042003879339175,0.6249414754865895,0.29265600963146277,0.07939268276369474
MN908947.3,1,29903,whole genome,29902,29487,29456,28762,27119,22346,19559,9459,4435,0adgio1o2o3o4o5,illumina_ss: pwrb,0.9861213296769447,0.985084609725102,0.9618754598354625,0.9069293023878001,0.7473078723831181,0.6541034044545515,0.31633335562838605,0.1483178382716875
MN908947.3,1,29903,whole genome,29902,28746,28173,27374,25014,20320,17014,6364,2229,0adgio1,illumina_ss: pwrb,0.9613403785699953,0.9421777807504514,0.9154571600561835,0.8365326733997726,0.6795532071433349,0.5689920406661761,0.21282857333957594,0.0745435087953983
MN908947.3,1,29903,whole genome,29902,27508,27431,26627,25526,21346,19156,11479,6480,o2o3o4o5,illumina_ss: pwrb,0.9199384656544712,0.9173633870644105,0.890475553474684,0.8536552738947227,0.7138652932914187,0.6406260450805966,0.3838873653936192,0.2167079125142131
MN908947.3,1,29903,whole genome,29902,28480,28412,27618,26387,22274,19980,10033,4713,0agio1o2,illumina_ss: pwrb,0.9524446525316033,0.9501705571533676,0.9236171493545582,0.882449334492676,0.7449000066885159,0.668182730252157,0.3355293960270216,0.15761487525918
MN908947.3,1,29903,whole genome,29902,28480,28194,27525,25996,20929,18390,9089,3904,0o5o3o4,illumina_ss: pwrb,0.9524446525316033,0.9428800749113772,0.9205069894990302,0.8693732860678216,0.6999197378101799,0.6150090294963547,0.3039596013644572,0.13055982877399505
MN908947.3,1,29903,whole genome,29902,28752,28702,28443,28177,26298,25354,17516,11000,adgio1o2o3,illumina_ss: pwrb,0.9615410340445455,0.9598689050899606,0.9512072771052104,0.9423115510668183,0.8794729449535148,0.8479031502909504,0.5857802153702093,0.36786837000869504
MN908947.3,1,29903,whole genome,29902,28623,28546,28546,28542,27530,26464,19670,12300,agio3o4o5,illumina_ss: pwrb,0.9572269413417163,0.9546518627516554,0.9546518627516554,0.9545180924352886,0.9206742023944887,0.8850244130827369,0.6578155307337302,0.4113437228279045
MN908947.3,1,29903,whole genome,29902,28139,28120,27560,27370,26528,26093,19841,13851,o1o2o3o4o5,illumina_ss: pwrb,0.9410407330613337,0.9404053240585915,0.9216774797672397,0.9153233897398168,0.8871647381446057,0.8726172162397164,0.6635342117584108,0.4632131629991305
MN908947.3,1,29903,whole genome,29902,27537,27196,26633,25191,21227,19037,7199,2886,0,illumina_ss: pwrb,0.9209083004481305,0.909504380977861,0.8906762089492342,0.8424520098990034,0.7098856263795064,0.6366463781686844,0.24075312688114509,0.0965152832586449
MN908947.3,1,29903,whole genome,29902,21320,19983,18655,15754,10689,6741,1551,381,o1o2,illumina_ss: pwrb,0.7129957862350345,0.6682830579894321,0.6238713129556551,0.5268543910106347,0.35746772791117654,0.22543642565714667,0.05186944017122601,0.012741622633937529
MN908947.3,1,29903,whole genome,29902,27622,27191,26759,25742,23587,21499,15293,9602,o3,illumina_ss: pwrb,0.923750919670925,0.9093371680824025,0.8948899739147883,0.8608788709785299,0.7888101130359173,0.7189820078924487,0.5114373620493613,0.3211156444384991
MN908947.3,1,29903,whole genome,29902,27881,27739,26967,26557,24747,23477,16409,10301,o5,illumina_ss: pwrb,0.9324125476556752,0.9276637014246538,0.9018460303658619,0.888134572938265,0.8276035047822888,0.7851314293358304,0.548759280315698,0.3444920072235971
MN908947.3,1,29903,whole genome,29902,26995,26575,26114,24914,21135,19114,10146,5039,o4,illumina_ss: pwrb,0.9027824225804294,0.8887365393619155,0.8733195104006422,0.8331884154906026,0.70680890910307,0.6392214567587452,0.3393084074643837,0.16851715604307405
MN908947.3,1,29903,whole genome,29902,28985,28726,28016,26455,23680,21708,12356,6169,0-2,illumina_ss: pwrb,0.9693331549729115,0.9606715269881613,0.9369272958330547,0.8847234298709117,0.7919202728914454,0.7259715069226139,0.4132165072570397,0.20630727041669453
MN908947.3,1,29903,whole genome,29902,27709,27679,26698,26144,21866,19529,8427,2947,a,illumina_ss: pwrb,0.9266604240519029,0.9256571466791519,0.8928499765901946,0.8743227877733931,0.7312554344191023,0.6531001270818005,0.28182061400575215,0.09855528058323858
MN908947.3,1,29903,whole genome,29902,27536,26559,25147,23016,19232,16002,5271,1715,g,illumina_ss: pwrb,0.9208748578690389,0.8882014580964483,0.8409805364189686,0.7697144003745569,0.6431676810915657,0.5351481506253762,0.17627583439234834,0.05735402314226473
MN908947.3,1,29903,whole genome,29902,28261,28009,27402,26088,21928,19953,10314,4596,i,illumina_ss: pwrb,0.945120727710521,0.9366931977794127,0.9163935522707511,0.8724500033442579,0.7333288743227878,0.6672797806166811,0.3449267607517892,0.15370209350545114
MN908947.3,1,29903,whole genome,29902,27568,26941,26109,24784,20755,18207,7670,4057,d,illumina_ss: pwrb,0.9219450203999733,0.9009765233094776,0.8731522975051836,0.8288408802086817,0.6941007290482242,0.6088890375225737,0.25650458163333556,0.13567654337502508
MN908947.3,1,29903,whole genome,29902,27829,27433,26832,25764,21917,19499,8702,3776,0-3,illumina_ss: pwrb,0.9306735335429068,0.9174302722225938,0.8973312821884823,0.8616146077185473,0.7329610059527791,0.6520968497090496,0.2910173232559695,0.1262791786502575
MN908947.3,1,29903,whole genome,29902,28237,27602,27440,26984,25435,23639,16155,8838,o3-2,illumina_ss: pwrb,0.9443181058123202,0.923082068089091,0.9176643702762357,0.9024145542104207,0.8506119991973781,0.7905491271486857,0.5402648652264063,0.29556551401244063
MN908947.3,1,29903,whole genome,29902,26525,25096,23323,22341,18235,16487,6551,2584,o5-2,illumina_ss: pwrb,0.8870644104073306,0.839274964885292,0.7799812721557087,0.7471406594876597,0.6098254297371414,0.5513678014848505,0.21908233562972376,0.08641562437295164
MN908947.3,1,29903,whole genome,29902,26795,25439,24751,22547,17181,14324,7187,3113,o5-3,illumina_ss: pwrb,0.8960939067620894,0.8507457695137449,0.8277372750986556,0.7540298307805497,0.57457695137449,0.47903150290950436,0.2403518159320447,0.1041067487124607
MN908947.3,1,29903,whole genome,29902,27920,27475,27024,26566,25123,24299,17782,12340,o4-2,illumina_ss: pwrb,0.9337168082402515,0.9188348605444452,0.9037522573740887,0.8884355561500903,0.8401779145207678,0.8126212293492074,0.5946759414086015,0.4126814259915725
MN908947.3,1,29903,whole genome,29902,27390,27060,26597,25109,22951,20287,14774,8850,o4-3,illumina_ss: pwrb,0.9159922413216507,0.9049561902213898,0.889472276101933,0.8397097184134841,0.7675406327335964,0.6784496020333088,0.4940806635007692,0.29596682496154103
MN908947.3,1,29903,whole genome,29902,26971,26945,26390,25395,23352,20987,14370,9265,o2-2,illumina_ss: pwrb,0.9019798006822286,0.9011102936258444,0.8825496622299511,0.8492742960337101,0.780951106949368,0.7018594073974985,0.4805698615477226,0.3098454952845964
MN908947.3,1,29903,whole genome,29902,27756,27143,26894,25385,23264,21240,14779,9891,o2o3o4o5-2,illumina_ss: pwrb,0.9282322252692128,0.9077319242860009,0.8994047220921677,0.8489398702427932,0.7780081599892984,0.7103203799076985,0.4942478763962277,0.33078054979600024
MN908947.3,1,29903,whole genome,29902,27985,27885,27061,25768,21696,19173,11141,5295,o2o3o4o5-3,illumina_ss: pwrb,0.9358905758812119,0.932546317972042,0.9049896328004816,0.861748378034914,0.7255701959735135,0.6411945689251555,0.37258377366062473,0.17707845629054914
MN908947.3,1,29903,whole genome,29902,28256,28108,27994,26795,23554,20863,13420,7070,0adgio1-2,illumina_ss: pwrb,0.9449535148150625,0.940004013109491,0.9361915590930373,0.8960939067620894,0.7877065079258913,0.6977125275901277,0.448799411410608,0.23643903417831583
MN908947.3,1,29903,whole genome,29902,29010,28933,28689,28403,26398,25488,17772,10941,0aio1o2o3o4o5,illumina_ss: pwrb,0.970169219450204,0.9675941408601432,0.9594341515617685,0.9498695739415424,0.8828172028626847,0.8523844558892382,0.5943415156176844,0.36589525784228477
MN908947.3,1,29903,whole genome,29902,27541,26733,25750,23341,17392,14151,5029,1409,0-4,illumina_ss: pwrb,0.9210420707644974,0.8940204668584041,0.8611464116112635,0.7805832385793593,0.5816333355628386,0.47324593672664034,0.16818273025215705,0.047120593940204666
